ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
-0.455,8.928,-0.103,0.342,9.796,0.297,-0.809,-0.784,-0.41,-0.381,0.254,0.193,5,30.7,-25.3,-16.3,241.1,-87.7,-54.8,3,0
0.8,8.052,0.704,0.488,9.771,0.676,0.335,-1.755,0.044,-0.179,0.33,0.158,4,30.4,-25.7,-16.4,258.6,-85.1,-35.8,3,0
-0.007,9.309,-0.089,0.499,9.773,0.637,-0.504,-0.488,-0.76,0.111,0.155,0.068,4,30.3,-24.9,-15.2,258.3,-85,-35.6,3,0
0.575,10.86,0.29,0.483,9.784,0.465,0.048,1.228,-0.039,0.278,0.111,-0.103,3,31.6,-25.9,-15.2,250.3,-85.6,-43.3,3,0
0.979,11.665,0.271,0.411,9.796,0.187,0.732,1.986,-0.156,0.125,-0.513,-0.063,3,30.8,-26.3,-13.8,231.5,-87.1,-58.9,3,0
1.52,9.994,2.655,0.353,9.798,0.199,1.249,-0.042,2.705,0.026,0.044,-0.015,3,32.8,-26,-15.2,232.4,-87.7,-62.1,3,0
1.164,9.469,-0.814,0.314,9.799,0.219,0.727,-0.588,-0.77,-0.152,-0.34,-0.063,3,30.7,-24.7,-15.5,239.5,-87.9,-56.6,3,0
-0.304,7.575,-0.778,0.216,9.803,0.179,-0.47,-2.191,-1.017,0.061,-0.27,-0.178,3,31.1,-24.2,-16.3,245.4,-88.1,-52.2,3,0
0.455,8.768,-0.848,0.142,9.803,0.205,0.282,-0.949,-1.069,-0.001,-0.183,-0.076,3,30.8,-23.8,-17.9,259.3,-88.4,-39.8,3,0
0.804,11.129,-0.005,0.191,9.805,0.003,0.458,1.736,-0.032,0.21,-0.078,-0.051,3,30.6,-23.6,-16.9,222.3,-88.8,-75.9,3,0
0.656,12.455,0.464,0.351,9.8,-0.045,0.327,2.533,1.098,0.064,-0.933,0.009,3,30.2,-24.7,-17.4,196.9,-88.4,-101.5,3,0
-1.451,10.54,2.184,0.315,9.797,-0.31,-1.809,0.808,2.491,0.563,0.403,0.052,3,29.1,-24.8,-19.5,179.2,-87.8,-124,3,0
-0.017,8.033,-0.678,0.445,9.793,-0.249,-0.481,-1.495,-0.744,-0.322,0.241,0.25,3,28.5,-25.9,-18.8,183.8,-87,-119.3,3,0
-0.445,8.641,-0.115,0.4,9.798,-0.048,-0.879,-1.107,-0.11,-0.014,0.239,-0.079,3,29.8,-24.9,-18.8,199.9,-87.1,-100.4,3,0
-1.659,9.153,0.227,0.213,9.803,-0.132,-1.872,-0.65,0.359,0.185,0.472,-0.04,3,29.8,-24.7,-16.3,185.8,-88.3,-112.1,3,0
-1.987,10.303,-0.239,-0.16,9.801,-0.282,-1.834,0.453,0.047,0.379,1.104,-0.191,3,29.8,-25.2,-14.9,101.9,-88.7,164.4,3,0
0.699,10.47,-0.565,-0.322,9.796,-0.322,1.071,1.045,-0.499,-0.252,0.981,-0.185,3,32.6,-25,-9,72.6,-87.1,142.1,3,0
-0.424,11.916,1.501,-0.544,9.782,-0.429,0.003,1.95,2.758,0.4,1.369,-0.325,2,33.8,-24.8,-6.8,48.3,-86.6,124.8,3,0
-0.407,9.802,1.223,-0.539,9.789,-0.252,0.089,-0.075,1.605,-0.324,1.792,0.017,2,34.3,-23.7,-0.2,30.1,-86.3,118.8,3,0
1.98,7.846,-0.757,-0.457,9.795,0.125,2.471,-1.954,-0.97,-0.203,0.83,-0.115,4,33.2,-24.1,4.4,337,-87.2,74.7,3,0
1.535,8.689,-1.48,-0.448,9.795,0.158,1.993,-0.838,-1.693,-0.244,0.426,-0.145,4,33.4,-23,7.4,329.4,-87.2,72,3,0
2.366,10.456,-0.117,-0.088,9.804,0.22,2.444,0.745,-0.325,-0.205,-0.134,-0.128,6,33.4,-22.4,7.9,303.4,-88.2,47.6,3,0
3.177,11.117,0.69,0.236,9.801,0.253,2.925,1.242,0.645,-0.077,-1.032,0.045,6,34.3,-22.1,7.3,214.7,-88,-43,3,0
0.623,12.283,0.8,0.288,9.801,-0.167,0.433,2.779,0.986,0.238,-2.028,0.236,6,35.2,-21.7,2.3,178.3,-88.3,-86.8,3,0
-0.206,9.855,1.106,0.413,9.792,-0.334,-0.549,0.041,1.172,0.311,-2.142,0.097,4,34.9,-22.2,-6,152.7,-86.8,-127.9,3,0
