ORIENTATION_X,ORIENTATION_Y,ORIENTATION_Z
-73.0,-13.0,343.9
-74.8,-15.6,177.3
-76.9,-15.9,180.3
-78.3,-16.3,180.1
-78.8,-15.4,177.3
-78.2,-13.5,178.8
-77.2,-10.4,183.8
-74.5,-11.0,178.6
-73.8,-7.1,179.2
-73.3,-3.0,182.3
-72.9,-1.9,185.1
-72.8,-2.3,182.7
-73.8,-2.5,184.6
-75.4,-0.4,188.4
-73.4,-5.0,188.5
-73.0,-5.1,190.8
-73.2,-5.5,195.2
-71.3,-7.1,192.1
-70.9,-7.1,190.1
-71.1,-7.0,190.8
-71.6,-6.7,188.9
-76.2,-18.4,347.1
-77.9,-22.1,341.8
-78.8,-22.0,342.2
-79.0,-20.3,344.0
-78.7,-19.2,345.2
-78.2,-20.6,342.0
-76.3,-12.3,349.3
-76.5,-11.5,353.4
-75.6,-12.5,350.8
-75.9,-10.0,354.9
-76.4,-10.6,355.7
-76.3,-13.9,353.6
-75.1,-16.9,351.7
-73.9,-15.7,354.2
-73.8,-13.7,355.2
-74.3,-11.3,353.0
-74.7,-10.0,353.1
-73.9,-11.3,346.0
-73.2,-11.7,342.7
-71.7,-6.2,188.0
-71.4,-6.6,187.8
-70.3,-6.5,185.0
-70.4,-7.6,184.0
-70.2,-6.7,182.4
-69.6,-3.0,184.6
-69.6,-1.2,185.6
-69.9,-2.7,184.6
-70.8,-3.5,182.0
-72.1,-6.7,181.8
-72.1,-7.9,181.3
-70.9,-10.6,186.9
-72.1,-10.3,188.1
-71.8,-10.2,191.5
-70.8,-13.3,188.6
-70.2,-11.2,190.7
-69.7,-11.5,190.3
-76.7,-11.9,354.5
-78.1,-10.8,354.2
-78.5,-10.3,355.0
-77.6,-7.8,356.0
-76.8,-7.2,356.6
-75.7,-7.7,354.6
-74.3,-5.8,356.5
-73.9,-5.5,355.3
-73.5,-6.5,355.8
-74.0,-10.5,351.3
-73.1,-14.3,350.0
-71.9,-15.1,350.2
-72.0,-14.2,351.5
-72.7,-12.6,351.5
-73.1,-11.9,349.4
-74.7,-12.1,346.7
-71.9,-15.2,178.2
-73.5,-13.8,179.7
-73.4,-10.9,181.6
-73.6,-9.3,185.3
-74.0,-3.2,189.1
-74.8,-3.9,190.8
-75.1,-6.9,183.6
-74.5,-8.9,180.4
-73.8,-8.0,184.0
-75.5,-7.3,181.9
-75.8,-7.9,186.1
-76.1,-11.8,179.6
-76.9,-14.2,177.8
-76.6,-16.1,181.1
-76.4,-14.8,181.4
-76.1,-15.5,190.3
-75.1,-13.9,189.3
-74.1,-18.4,186.7
-74.3,-18.8,183.7
-75.0,-20.3,178.6
-72.8,-8.2,356.9
-73.1,-7.5,357.7
-71.9,-5.1,0.3
-70.5,-1.8,2.7
-71.0,-4.5,359.6
-70.4,-2.4,3.5
-70.9,0.2,6.7
-70.8,0.0,7.8
-70.7,-1.1,9.8
-70.6,-3.1,11.8
-71.0,-8.0,17.7
-71.4,-8.1,20.2
-71.1,-6.9,26.9
-69.5,-10.2,37.6
-69.1,-13.1,41.2
-67.8,-15.8,45.6
-68.0,-15.0,51.1
-71.4,-12.4,180.6
-71.6,-13.2,178.4
-71.4,-9.8,180.5
-72.6,-10.1,180.3
-70.7,-10.3,173.5
-71.4,-11.0,174.8
-71.7,-10.4,179.4
-71.5,-10.5,183.8
-73.8,-9.8,186.1
-74.9,-10.2,187.3
-72.4,-10.5,189.4
-72.1,-10.8,193.5
-69.8,-9.4,197.5
-68.9,-9.3,195.3
-68.4,-8.5,194.8
-68.4,-9.1,189.6
-70.3,-4.5,195.5
-70.8,-3.5,193.4
-73.6,-3.6,195.5
-73.5,-3.8,194.7
-73.6,1.3,202.7
-73.4,1.3,199.4
-71.9,-6.2,189.3
-71.8,-6.4,188.6
-72.4,-8.7,187.1
